January 1,New Year's Day
January 11,International Parity at Work Day
January 27,International Holocaust Remembrance Day 
January 31,Jugend Eine Welt
January 31,Leprosy Prevention Day 
February 2,World Wetlands Day
February 4,World Cancer Day
February 6,International Day of Zero Tolerance to Female Genital Mutilation
February 11,World Day of the Sick 
February 13,World Radio Day
February 14,Valentine day
February 20,World Day of Social Justice
February 21,International Mother Language Day
February 27 ,World NGO Day
March 1,World Civil Defence Day
March 3,World Wildlife Day
March 8,United Nations Day for Women's Rights and International Peace
March 12,World Glaucoma Day
March 15,World Consumer Rights Day World Contact Day
March 20,World Oral Health Day
March 20,International Day of Francophonie
March 20,International Day of Happiness
March 20,World Sparrow Day
March 21,International Day for the Elimination of Racial Discrimination
March 21,World Poetry Day
March 21,International Day of Nowruz
March 21,World Down Syndrome Day
March 21,World Puppetry Day
March 21,International Day of Forests
March 22,World Water Day
March 23,World Meteorological Organization
March 24,World Tuberculosis Day
March 25,International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade
March 25,Observance of National Genocide Day
March 26,Bangladesh Independence Day
March 27,International launch of Global Money Week world atmosphere Day
March 27,World Theatre Day
April 1,World April Fools' Day
April 2,World Autism Awareness Day
April 2,International Children's Book Day
April 7,International Day of Reflection on the 1994 Rwanda Genocide
April 7,World Health Day
April 8,International Romani Day
April 17,World Hemophilia Day
April 18,International Day For Monuments and Sites
April 20,420
April 22,International Mother Earth Day
April 23,World Book and Copyright Day
April 23,UN English Language Day
April 24,World Day for Laboratory Animals
April 25,World Malaria Day
April 28,Workers' Memorial Day
April 29,Day of Remembrance for all Victims of Chemical Warfare 
April 29,International Dance Day
April 30,International Jazz Day
May 1,International Workers' Day
May 3,World Press Freedom Day
May 4,International Firefighters' Day
May 5,International Midwives Day
May 8,World Red Cross and Red Crescent Day
May 8–9,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War
May 9,Europe Day
May 10,Bird Day
May 12,International Nurses Day
May 15,International Day of Families
May 17,World Information Society Day
May 17,International Day Against Homophobia and Transphobia
May 18,World AIDS Vaccine Day
May 18,International AIDS Candlelight Memorial
May 18,International Museum Day
May 20,World Metrology Day
May 21,World Day for Cultural Diversity for Dialogue and Development
May 22,International Day for Biological Diversity
May 25,Geek Pride Day
